firstName,lastName,temporaryDisplayName,personId,teamId,jersey,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country
Tony,Snell,"Snell, Tony",203503,1610612740,21,G,6,6,1.98,213.0,96.6,1991-11-10,2013,8,New Mexico,New Mexico/USA,USA
Trey,Burke,"Burke, Trey",203504,1610612742,3,G,6,0,1.83,185.0,83.9,1992-11-12,2013,8,Michigan,Michigan/USA,USA
Victor,Oladipo,"Oladipo, Victor",203506,1610612748,4,G,6,4,1.93,213.0,96.6,1992-05-04,2013,8,Indiana,Indiana/USA,USA
Giannis,Antetokounmpo,"Antetokounmpo, Giannis",203507,1610612749,34,F,6,11,2.11,242.0,109.8,1994-12-06,2013,8,Filathlitikos,Filathlitikos/Greece,Greece
Raul,Neto,"Neto, Raul",203526,1610612764,19,G,6,2,1.88,180.0,81.6,1992-05-19,2015,6,Murcia,Murcia/Brazil,Brazil
Seth,Curry,"Curry, Seth",203552,1610612751,30,G,6,2,1.88,185.0,83.9,1990-08-23,2013,7,Duke,Duke/USA,USA
Rodney,McGruder,"McGruder, Rodney",203585,1610612765,17,G,6,4,1.93,205.0,93.0,1991-07-29,2016,5,Kansas State,Kansas State/USA,USA
Thanasis,Antetokounmpo,"Antetokounmpo, Thanasis",203648,1610612749,43,F,6,6,1.98,219.0,99.3,1992-07-18,2015,3,Panathinaikos,Panathinaikos/Greece,Greece
Zach,LaVine,"LaVine, Zach",203897,1610612741,8,G-F,6,5,1.96,200.0,90.7,1995-03-10,2014,7,UCLA,UCLA/USA,USA
Elfrid,Payton,"Payton, Elfrid",203901,1610612756,2,G,6,3,1.9,195.0,88.5,1994-02-22,2014,7,Louisana-Lafayette,Louisana-Lafayette/USA,USA
